Каспийское море;<img src="lake_65.png">;Россия, Казахстан, Туркмения, Иран, Азербайджан;371000;1025;208;-28;соленое;нет;Азия, Европа
Верхнее;<img src="lake_106.png">;США, Канада;82700;406;147;183;пресное;Сент-Мэрис;Северная Америка
Виктория;<img src="lake_7.png">;Танзания, Кения, Уганда;68000;80;40;1134;пресное;Белый Нил;Африка
Гурон;<img src="lake_34.png">;США, Канада;59600;229;59;177;пресное;Сент-Клэр;Северная Америка
Мичиган;<img src="lake_79.png">;США;57750;281;85;177;пресное;нет;Северная Америка
Танганьика;<img src="lake_72.png">;Танзания, Бурунди, ДР Конго, Замбия;32900;1470;570;773;пресное;Лукуга;Африка
Байкал;<img src="lake_68.png">;Россия;31722;1642;744;457;пресное;Ангара;Азия
Большое Медвежье;<img src="lake_23.png">;Канада;31153;413;72;156;пресное;Большая Медвежья;Северная Америка
Ньяса (Малави);<img src="lake_19.png">;Танзания, Мозамбик, Малави;29600;706;292;474;пресное;Шире;Африка
Большое Невольничье;<img src="lake_4.png">;Канада;28400;614;41;156;пресное;Маккензи;Северная Америка
Чад;<img src="lake_6.png">;Чад, Камерун, Нигер, Нигерия;27000;11;2;240;солоноватое;Бахр-эль-Газаль;Африка
Эри;<img src="lake_107.png">;США, Канада;25700;64;19;174;пресное;Ниагара;Северная Америка
Виннипег;<img src="lake_41.png">;Канада;24300;36;12;217;пресное;Нельсон;Северная Америка
Онтарио;<img src="lake_12.png">;США, Канада;19500;244;86;75;пресное;Святого Лаврентия;Северная Америка
Ладожское;<img src="lake_103.png">;Россия;17700;230;51;4;пресное;Нева;Европа
Балхаш;<img src="lake_76.png">;Казахстан;16400;26;6;340;солоноватое;нет;Азия
Восток;<img src="lake_136.png">;Антарктида;15790;1200;432;500;пресное;нет;Антарктида
Маракайбо;<img src="lake_78.png">;Венесуэла;13512;250;60;-1;соленое;нет;Южная Америка
Уюни;<img src="lake_18.png">;Боливия;10588;?;?;3650;солончак;нет;Южная Америка
Патус;<img src="lake_83.png">;Бразилия;10144;12;5;-1;соленое;нет;Южная Америка
Онежское;<img src="lake_48.png">;Россия;9720;127;30;33;пресное;Свирь;Европа
Эйр (Кати-Танда);<img src="lake_1.png">;Австралия;9500;20;2;-16;соленое;нет;Австралия и Океания
Титикака;<img src="lake_42.png">;Перу, Боливия;8300;281;180;3812;пресное;Десагуадеро;Южная Америка
Никарагуа;<img src="lake_20.png">;Никарагуа;8264;45;13;32;пресное;Сан-Хуан;Северная Америка
Атабаска;<img src="lake_15.png">;Канада;7850;124;20;213;пресное;Невольничья;Северная Америка
Оленье (Рейндир-Лейк);<img src="lake_109.png">;Канада;6650;219;17;337;пресное;Рэйндир-Ривер;Северная Америка
Рудольф (Туркана);<img src="lake_53.png">;Кения, Эфиопия;6405;109;30;360;пресное;нет;Африка
Иссык-Куль;<img src="lake_10.png">;Киргизия;6236;702;278;1609;солоноватое;нет;Азия
Урмия;<img src="lake_5.png">;Иран;6000;16;5;1275;соленое;нет;Азия
Большое Соленое;<img src="lake_77.png">;США;6000;15;7;1280;соленое;нет;Северная Америка
Шотт-эль-Джерид;<img src="lake_137.png">;Тунис;6000;?;?;-15;соленое;нет;Африка
Торренс;<img src="lake_21.png">;Австралия;5698;8;1;28;соленое;нет;Австралия и Океания
Кукунор (Цинхай);<img src="lake_24.png">;Китай;5694;38;19;3205;соленое;нет;Азия
Венерн;<img src="lake_69.png">;Швеция;5650;106;27;44;пресное;Гёта-Эльв;Европа
Виннипегосис;<img src="lake_108.png">;Канада;5370;18;12;254;пресное;нет;Северная Америка
Альберт;<img src="lake_13.png">;Уганда, ДР Конго;5300;58;25;615;пресное;Альберт-Нил;Африка
Мверу;<img src="lake_97.png">;Замбия, ДР Конго;5120;27;8;917;пресное;нет;Африка
Неттиллинг;<img src="lake_67.png">;Канада;5051;132;?;30;пресное;Кукджуак;Северная Америка
Сарыкамышское;<img src="lake_38.png">;Туркмения, Узбекистан;5000;40;8;5;соленое;нет;Азия
Поянху;<img src="lake_56.png">;Китай;5000;25;8;18;пресное;Янцзы;Азия
Нипигон;<img src="lake_58.png">;Канада;4848;165;55;260;пресное;Нипигон;Северная Америка
Манитоба;<img src="lake_43.png">;Канада;4624;20;7;247;пресное;нет;Северная Америка
